"first_author","affiliation","publications","citations","year_start","year_end","top_topics","publication_types","top_authors","top_journals","top_institutions","top_conferences","not_found"
"Sawsan I. Kreydiyyeh","American University of Beirut","56",1194,1990,2019,"Biochemistry|Biology|Chemistry|Na+/K+-ATPase|ATPase|Internal medicine|Endocrinology|Eugenol|Linalool|Botany","Journal publications","Julnar Usta|Shawky M. Dagher|Khouzama M. Knio|H. Zournajian|Khuzama Knio|Ola El-Zein|Pascale Barnabe|Yolla Bou-Moughlabay|Rana Al-Sadi|Antoine T. Chalfoun","Bioresource Technology|Journal of Ethnopharmacology|Food and Chemical Toxicology|Journal of Experimental Marine Biology and Ecology|PLOS ONE|Life Sciences|Chemico-Biological Interactions|Cytokine|Phytomedicine|Human & Experimental Toxicology","American University of Beirut|Beirut Arab University|Florida State University|University of California, San Diego|Kuwait University|University of Minnesota|United States Public Health Service",NA,NA
"Ji-Yong Zhou","Zhejiang University","25",776,2004,2019,"Biology|Virology|Molecular biology|Virus|Recombinant DNA|Fusion protein|Antibody|Epitope|Goose|Monoclonal antibody","Journal publications|Patents","Hui-Gang Shen|Junqing Guo|Jianxiang Wu|Shao-Bin Shang|Qing-Xin Chen|Hongxun Chen|Hui Gong|Jianxin Liu|Guang-Zhi Tong|Ming Liao","Journal of General Virology|Journal of Biotechnology|Plant Biotechnology Journal|FEBS Letters|Veterinary Research Communications|Molecular Immunology|Research in Veterinary Science|Cytokine|Chinese Journal of Biotechnology|Protein Expression and Purification","Zhejiang University|China Agricultural University|Harbin Veterinary Research Institute|Ministry of Education|Rice University|Wuhan University|Boston Children's Hospital|Chinese Ministry of Education",NA,NA
"Sarine Markossian","American University of Beirut","4",122,2003,2006,"ATPase|Kidney|Chemistry|Biochemistry|Diuretic|Pimpinella|Intestinal absorption|Homogenization (biology)|Chromatography|Sodium","Journal publications","Sawsan Ibrahim Kreydiyyeh|Julnar Usta|Khuzama Knio|Shawky M. Dagher|Rawad Hodeify","Life Sciences|Cytokine|Prostaglandins & Other Lipid Mediators","American University of Beirut",NA,NA
"Hwa-Jeong Lee","Wonkwang University","25",671,2005,2010,"Biology|Cancer cell|Heme oxygenase|Biochemistry|Molecular biology|Keratinocyte|Pathology|Medicine|Viability assay|HaCaT","Journal publications|Other","Eun-Cheol Kim|Suk-Keun Lee|Sun-Kyung Lee|Byung-Hun Jeon|Chang-Duk Jun|Kyung-San Min|Jun Lee|Youngho Kim|Hyun-Ock Pae|Myung Hee Park","Journal of Endodontics|Journal of Oral Pathology & Medicine|Phytotherapy Research|The American Journal of Chinese Medicine|Journal of Periodontology|Cell Biology International|Life Sciences|Toxicology in Vitro|Cytokine|BMC Cancer","Wonkwang University|Kyungpook National University|National Institutes of Health|Cheongju University|The Catholic University of America|Gwangju Institute of Science and Technology",NA,NA
"Maria de Lujan Alvarez","National Scientific and Technical Research Council","42",429,2000,2019,"Internal medicine|Endocrinology|Biology|Biochemistry|Apoptosis|Chemistry|Programmed cell death|Liver cancer|Oxidative stress|Medicine","Journal publications|Other","María Cristina Carrillo|Cristina E. Carnovale|María Teresa Ronco|Ariel D. Quiroga|Gerardo B. Pisani|Juan Pablo Parody|María Paula Ceballos|Juan A. Monti|Daniel E. Francés|Florencia Lorenzetti","Biochimica et Biophysica Acta|Biochemical Pharmacology|Journal of Hepatology|Molecular Nutrition & Food Research|Toxicology and Applied Pharmacology|Journal of Nutritional Biochemistry|Hepatology|Growth Factors Journal|Cytokine|European Journal of Nutrition","National Scientific and Technical Research Council|Facultad de Ciencias Médicas|Spanish National Research Council|Universidad Abierta Interamericana|University of Buenos Aires|Université Paris-Saclay|National University of Rosario",NA,NA
"Marilena Galdiero","Seconda Università degli Studi di Napoli","83",1290,1988,2019,"Biology|Immunology|Microbiology|Porin|Virology|Medicine|Signal transduction|Cytokine|Proinflammatory cytokine|Lipopolysaccharide","Journal publications|Other","Mariateresa Vitiello|Massimiliano Galdiero|Emiliana Finamore|Stefania Galdiero|Marina D'Isanto|Emilia Galdiero|F. Galdiero|Gianluigi Franci|Annarita Falanga|Allan A. Pacey","Lancet Infectious Diseases|Cytokine|Infection and Immunity|International Journal of Nanomedicine|Molecular BioSystems|Marine Drugs|Microbiology|Clinical and Vaccine Immunology|New Microbiologica|RSC Advances","Seconda Università degli Studi di Napoli|University of Naples Federico II|University of Sheffield|New York University|National Research Council|International Institute of Minnesota|ARCO",NA,NA
"Sawsan Ibrahim Kreydiyyeh","American University of Beirut","56",1194,1990,2019,"Biochemistry|Biology|Chemistry|Na+/K+-ATPase|ATPase|Internal medicine|Endocrinology|Eugenol|Linalool|Botany","Journal publications","Julnar Usta|Shawky M. Dagher|Khouzama M. Knio|H. Zournajian|Khuzama Knio|Ola El-Zein|Pascale Barnabe|Yolla Bou-Moughlabay|Rana Al-Sadi|Antoine T. Chalfoun","Bioresource Technology|Journal of Ethnopharmacology|Food and Chemical Toxicology|Journal of Experimental Marine Biology and Ecology|PLOS ONE|Life Sciences|Chemico-Biological Interactions|Cytokine|Phytomedicine|Human & Experimental Toxicology","American University of Beirut|Beirut Arab University|Florida State University|University of California, San Diego|Kuwait University|University of Minnesota|United States Public Health Service",NA,NA
"Deok-Ho Song","Chungbuk National University","5",24,2003,2007,"Tumor necrosis factor alpha|Immunology|Phagocytosis|Biology|Peroxisome proliferator-activated receptor|Messenger RNA|Peroxisome|Downregulation and upregulation|Receptor|Conjugated linoleic acid","Journal publications|Other","Ji-Houn Kang|Mhan-Pyo Yang|Geun-Shik Lee|Eui-Bae Jeung|In-Kyung Ko|Jung-hwa Sin|Hyun-ah Kim","Cytokine|Veterinary Immunology and Immunopathology","Chungbuk National University",NA,NA
"Chung-Hsi Hsing","Taipei Medical University","25",467,2002,2018,"Medicine|Immunology|Cytokine|Interleukin|Proinflammatory cytokine|Pathology|Internal medicine|Interleukin 19|Inflammation|Metastasis","Journal publications|Other","Ming-Shi Chang|Yu Hsiang Hsu|Chien Feng Li|Wei Yu Chen|Ching Hua Yeh|Hsing Hui Li|Mei Yi Hsieh|Chuan Chih Hsu|Bor Chih Cheng|Edmund Cheung So","PLOS ONE|The Annals of Thoracic Surgery|Journal of Biomedical Science|Cytokine|European Journal of Pharmacology|Scientific Reports|Shock|Journal of Immunology|Clinical Cancer Research|Nephrology Dialysis Transplantation","National Cheng Kung University|Taipei Medical University|National Taiwan University|Chang Jung Christian University|Chia Nan University of Pharmacy and Science|China Medical University (PRC)|National Health Research Institutes|National Yang-Ming University|Shandong University|National Formosa University",NA,NA
"M. HyzdÕalov‡","Academy of Sciences of the Czech Republic","4",68,2008,2011,"Biology|Cell culture|Apoptosis|Cellular differentiation|Butyrate|Cell|Cell biology|Docosahexaenoic acid|Sodium butyrate|Cell cycle","Journal publications","Alois Kozubík|Alena Hyršlová Vaculová|Jirina Hofmanová|Zuzana Sovjáková Koubková|Lenka Kocí|Jirina Hofmanova|Jirí Pacherník|Zuzana Pernicová|David Vydra|Radek Trojanec","Molecular Nutrition & Food Research|Cytokine|Cancer Genetics and Cytogenetics","Academy of Sciences of the Czech Republic|Masaryk University|Palacký University, Olomouc",NA,NA
"Taku Inokuchi","Hyogo College of Medicine","34",440,2004,2010,"Internal medicine|Endocrinology|Medicine|Uric acid|Diabetes mellitus|Chemistry|Excretion|Gout|Hypoxanthine|Purine","Journal publications|Conference publications|Other","Yuji Moriwaki|Sumio Takahashi|Zenta Tsutsumi|Tetsuya Yamamoto|Asako Yamamoto|Tuneyoshi Ka|Tsuneyoshi Ka|Seiichi Hirota|Hiroki Shima|Takiuchi H","Magnetic Resonance Imaging|Metabolism-clinical and Experimental|Internal Medicine|Hormone and Metabolic Research|Jcr-journal of Clinical Rheumatology|Acta Diabetologica|Cytokine|Nucleosides, Nucleotides & Nucleic Acids|Japanese Circulation Journal-english Edition|Clinica Chimica Acta","Hyogo College of Medicine|Shimane University|Tottori University","CP: Principles and Practice of Constraint Programming",NA
"Zhao Huang","Shaanxi Normal University","4",0,2019,2019,"Computer science|Distributed computing|Information retrieval|Recommender system|The Internet|Euclidean distance|Semantic similarity|Service discovery|Cosine similarity|Web service","Conference publications|Journal publications","Pavel Stakhiyevich|Wei Zhao|Wei Zhao|Liu Yuan|Pavel Stakhiyevich","Electronic Commerce Research","Shaanxi Normal University","HPCC: High Performance Computing and Communications|UbiComp: Ubiquitous Computing",NA
"Aramati B.M. Reddy","University of Texas Medical Branch","22",763,2006,2019,"Aldose reductase|Biology|Biochemistry|Inflammation|Molecular biology|Tumor necrosis factor alpha|Chemokine|Proinflammatory cytokine|Protein kinase C|Oxidative stress","Journal publications","Kota V. Ramana|Ravinder Tammali|Satish K. Srivastava|Aruni Bhatnagar|Ashish Saxena|Satish K. Srivastava|Mohammad Shoeb|Sanjay Srivastava|Umesh C. S. Yadav|Ashok K. Chopra","Chemico-Biological Interactions|Journal of Biological Chemistry|Carcinogenesis|Investigative Ophthalmology & Visual Science|Endocrinology|Angiogenesis|Free Radical Biology and Medicine|Cytokine|International Immunopharmacology|The International Journal of Biochemistry & Cell Biology","University of Texas Medical Branch|University of Louisville|University of Colorado Denver|University of North Texas|University of Kentucky|Washington University in St. Louis|Visual Sciences",NA,NA
"Kumiko Goto","Hoshi University","12",332,2008,2010,"Downregulation and upregulation|RHOA|Biology|Contraction (grammar)|Cell biology|Pathology|microRNA|Cell|Bronchial hyperresponsiveness|Ovalbumin","Journal publications","Yoshihiko Chiba|Miwa Misawa|Hiroyasu Sakai|Miki Tanabe|Shioko Kimura|Yoshiyuki Hattori|Kimihiko Matsusue|Yoshie Maitani|Kimihiko Matsusue|Motohiko Hanazaki","American Journal of Respiratory and Critical Care Medicine|Pharmacological Research|Journal of Pharmacological Sciences|Pflügers Archiv: European Journal of Physiology|Cytokine|European Journal of Pharmacology|Journal of Smooth Muscle Research|Biological & Pharmaceutical Bulletin","Hoshi University|National Institutes of Health|Fukuoka University",NA,NA
"Surinder Safaya","Boston University","11",104,1999,2013,"Biology|Genetics|Single-nucleotide polymorphism|Haplotype|Sickle cell anemia|Molecular biology|Immunology|Locus (genetics)|Allele|Fetal hemoglobin","Journal publications|Other|Conference publications","Martin H. Steinberg|Clinton T. Baldwin|Efthymia Melista|Nadia Solovieff|Paola Sebastiani|Idowu Akinsheye|Duyen A. Ngo|Ahmed M. Al-Suliman|Waleed H. Albuali|John J. Farrell","Blood Cells Molecules and Diseases|American Journal of Hematology|Molecular Immunology|Cytokine|Physiological Genomics|Blood|The American Journal of the Medical Sciences","Boston University|King Saud University|King Faisal University|Yale University|University of Dammam|University of Mississippi|Tougaloo College","ATS: American Thoracic Society International Conference",NA
"Yanping Yang","Sanofi Pasteur","72",993,1990,2013,"Biology|Virology|Microbiology|Haemophilus influenzae|Immunology|Recombinant DNA|Transferrin receptor|Antigen|Bacterial vaccine|Escherichia coli","Journal publications|Patents|Other","Sheena M. Loosmore|Michel H. Klein|Robin E. Harkness|Run-Pan Du|Lisa E. Myers|Michel H. Klein|Anthony B. Schryvers|Pele Chong|Qijun Wang|Debbie C. Coleman","Infection and Immunity|Vaccine|Fems Immunology and Medical Microbiology|Molecular Microbiology|Developments in biologicals|Advances in Experimental Medicine and Biology","University of Calgary|Sanofi Pasteur|St. Louis Children's Hospital|Ohio State University",NA,NA
"Ari Kassardjian","American University of Beirut","3",27,2007,2010,"Na+/K+-ATPase|Biology|Caspase|Molecular biology|Biochemistry|ATPase|Sodium-Potassium-Exchanging ATPase|Downregulation and upregulation|Tumor necrosis factor alpha|NF-<U+03BA>B","Journal publications","Sawsan Ibrahim Kreydiyyeh|Zeina Dakroub|Ola El Zein|Maya F. Serhan|Sarah Riman","Journal of Cellular Physiology|Cytokine|Prostaglandins & Other Lipid Mediators","American University of Beirut",NA,NA
"Hong Yu","Medical University of South Carolina","28",555,2004,2016,"Biology|Molecular biology|Immunology|Inflammation|MAPK/ERK pathway|Cytokine|Medicine|Aggregatibacter actinomycetemcomitans|Proinflammatory cytokine|Cancer research","Journal publications","Keith L. Kirkwood|Bethany A. Herbert|Qiyan Li|Maria F. Lopes-Virella|Xiaoming Zhang|Yanchun Li|Yan Huang|Zhongyang Lu|Renny T. Franceschi|Guisheng Zhao","Journal of Dental Research|Journal of Bone and Mineral Research|Cancer Research|Cytokine|Gene Therapy|Journal of Biological Chemistry|Journal of Periodontal Research|Journal of Lipid Research|PLOS ONE|Lipids in Health and Disease","Medical University of South Carolina|University of Michigan|College of Charleston|Clemson University|Guilin Medical University|United States Army Medical Research Institute of Infectious Diseases",NA,NA
"Markus Neumeier","University of Regensburg","88",4230,2005,2019,"Internal medicine|Endocrinology|Biology|Adiponectin|Adipokine|Medicine|Adipocyte|Adipose tissue|Biochemistry|Inflammation","Journal publications|Other","Christa Buechler|Andreas Schäffler|Johanna Weigert|Jürgen Schölmerich|Josef Wanninger|Charalampos Aslanidis|Andrea Kopp|Sabrina Bauer|J. Schölmerich|Thomas S. Weiss","Biochimica et Biophysica Acta|Endocrinology|FEBS Letters|Clinical Endocrinology|Biochemical and Biophysical Research Communications|Immunology|World Journal of Gastroenterology|Cytokine|Obesity|Inflammatory Bowel Diseases","University of Regensburg|University of Washington|University of Sydney|University of Barcelona|Boston University",NA,NA
"Ping Chen","Hunan Normal University","40",941,2000,2020,"Chromatography|Membrane protein|Biochemistry|Chemistry|Biology|Proteomics|Membrane|Mass spectrometry|Proteome|Centrifugation","Journal publications","Songping Liang|Xianchun Wang|Rui Cao|Yong Lin|Zhen Liu|Xuanwen Li|Jian Zhou|Quanyuan He|Jixian Xiong|Jianglin Li","Journal of Proteome Research|Electrophoresis|Analytical Biochemistry|Stem Cells International|Journal of Neurochemistry|Rapid Communications in Mass Spectrometry|Cell Transplantation|Proteomics|Toxicon|Molecular and Cellular Biochemistry","Hunan Normal University|Chongqing Medical University|Hunan Agricultural University|Central South University|Hunan University|Fujian University of Traditional Chinese Medicine",NA,NA
"Ye Zeng","Sichuan University","48",712,1993,2019,"Biology|Glycocalyx|Heparan sulfate|Cell biology|Cancer research|Syndecan 1|Biochemistry|Endothelial stem cell|Immunology|Chondroitin sulfate","Journal publications|Patents|Other","John M. Tarbell|Xiaoheng Liu|Jiang Wu|Jingxia Liu|Zhiping Yan|Xinghong Yao|Bingmei M. Fu|Eno E. Ebong|Roger H. Adamson|Fitz Roy E Curry","PLOS ONE|American Journal of Physiology-heart and Circulatory Physiology|International Journal of Cancer|Oncotarget|Oncology Letters|Cellular and Molecular Biology|Progress in Biophysics & Molecular Biology|Experimental Cell Research|International Journal of Molecular Medicine|PeerJ","Sichuan University|City College of New York|City University of New York|Albert Einstein College of Medicine|University of California, Davis|Harvard University|Kettering University|Ohio State University|Sun Yat-sen University|Xinjiang Medical University",NA,NA
"Yue Wang","Tianjin University","18",593,2010,2019,"Biology|MAPK/ERK pathway|Protein kinase B|PI3K/AKT/mTOR pathway|Autocrine signalling|Cancer research|Immunology|XIAP|Cell biology|Cisplatin","Journal publications|Other|Patents","Ling Zhi Li|Ye Qu|Wei Jia Sun|Xiu Long Niu|Xiao Lei Zhang|Ya Qin Zhu|Jian Wu|Rui Cheng Xu|Xin Jin|Jing Sun","Cytokine|Cancer Letters|Phytomedicine|Molecular and Cellular Endocrinology|Scientific Reports|Nutrition Research|International Immunopharmacology|Cell and Tissue Research|Chinese Herbal Medicines|Journal of Molecular Endocrinology","Tianjin University|Tianjin Medical University",NA,NA
"Hong-Xia Wang","Capital Medical University","44",728,2009,2019,"Internal medicine|Endocrinology|Biology|Medicine|Apoptosis|Angiotensin II|Ischemia|Protein kinase B|Inflammation|Receptor","Journal publications","Hui-Hua Li|Jie Du|Xiang-Jun Zeng|Hui Yang|Cui Tian|Chaoshu Tang|Yunlong Xia|Lei Wang|Fenghe Du|Caixia Guo","PLOS ONE|Peptides|Apoptosis|Free Radical Biology and Medicine|American Journal of Hypertension|Cellular Physiology and Biochemistry|Hypertension|Life Sciences|Scientific Reports|Heart and Vessels","Capital Medical University|Dalian Medical University|Temple University|Xi'an Jiaotong University|Peking University|Shandong University of Traditional Chinese Medicine|Shandong University|University of Maryland, College Park|Peking Union Medical College Hospital|Beijing Jishuitan Hospital",NA,NA
"Muyao Li","University of Vermont","28",912,1994,2017,"Biology|Biochemistry|Vascular smooth muscle|Molecular biology|MAPK/ERK pathway|Protein kinase B|Cell biology|Signal transduction|Internal medicine|Phosphorylation","Journal publications|Other","Naomi K. Fukagawa|Jen-Fu Chiu|Brooke T. Mossman|Matthew E. Poynter|Brian C. Palmer|Qing-Yu He|Ping Liang|Erin Parker|Cynthia R. Timblin|Britt A. Holmén","Journal of Cellular Physiology|Journal of Cellular Biochemistry|Journal of Biological Chemistry|Environmental Science & Technology|Free Radical Biology and Medicine|Cytokine|Antioxidants & Redox Signaling|Carcinogenesis|Air Quality, Atmosphere & Health|Brain Research","University of Vermont|University of Hong Kong|University of Idaho|University of Alberta|Shantou University|Keene State College|University of Southern California|University of Alabama at Birmingham|University of Miami|University of Oulu",NA,NA
"Yong-Duk Park","Kyung Hee University","50",409,2009,2019,"Chemistry|Dentistry|Chromatography|Materials science|Medicine|High-performance liquid chromatography|Analytical chemistry|Amperometry|Fluoride|RUNX2","Journal publications|Conference publications|Other","Ha-Jeong Kwon|Eun-Cheol Kim|Jong-Hwa Jang|Hye-Jin Baek|Youn-Hee Choi|Yeon-Kyung Lee|Keun-Bae Song|S.H. Jeong|Young-Suk Kim|Yoon-Jong Oh","Journal of Dentistry|PLOS ONE|Journal of Biomaterials Applications|Journal of Chromatography A|Cytokine|Clinical Oral Implants Research|Archives of Pharmacal Research|International Dental Journal|Journal of Periodontology|Dental Materials Journal","Kyung Hee University|Hanseo University|Kyungpook National University|Science College|Dankook University|Chonbuk National University|Chonnam National University|UPRRP College of Natural Sciences|Hallym University|Korea University","BMEI: BioMedical Engineering and Informatics",NA
"Christina Galloway","University of Michigan","1",32,2013,2013,"Internal medicine|Chemokine|Endocrinology|Proinflammatory cytokine|Tumor necrosis factor alpha|Inflammation|Neuropathic pain|Type 2 diabetes|Diabetic neuropathy|Diabetes mellitus","Journal publications","Munmun Chattopadhyay","Cytokine","University of Michigan",NA,NA
"Kyoung Sik Park (only one author)","Cheongju University","8",64,2013,2018,"Biology|Biochemistry|Inflammation|Adipocyte|Internal medicine|Endocrinology|Tumor necrosis factor alpha|Adipokine|Receptor|Peroxisome proliferator-activated receptor","Journal publications|Other","Oran Kwon|Jae-Ho Shin|Min Young Park|Joohee Kim|Hye Min Lee|Tae Kon Kim|Yeni Lim|Jae Keun Yoo|Yoon Hee Ahn|Seiko Koizumi","Pharmaceutical Biology|Cytokine|Journal of Natural Medicines|Plant Foods for Human Nutrition|International Journal of Peptide Research and Therapeutics","Cheongju University|Ewha Womans University|Eulji University",NA,NA
"Bin-Bin Ni","Huazhong University of Science and Technology","2",2,2014,2014,"Engineering|Aerospace|Metallurgy|Current density|System of measurement|Automotive industry|Ductility|Electric current|Control engineering|Volt-ampere","Conference publications","Jiangtao Shi|Xiaotao Han|Qi Chen|Lantao Huang|Xinyu Duan|Jianfeng Xie|Lei Yao",NA,"Huazhong University of Science and Technology","IMTC: Instrumentation and Measurement Technology Conference|CCDC: Chinese Control and Decision Conference",NA
"Hui Li","Second Military Medical University","2",17,2012,2013,"Pathology|Cirrhosis|Fibrosis|CTGF|Internal medicine|Liver injury|Hepatitis B|Carcinoma|Hepatocellular carcinoma|Liver cell","Journal publications","Olav A. Gressner|Axel M. Gressner|Meng Fang|Chun Fang Gao|Lun Gen Lu|Chunfang Gao|Fang Meng","Clinica Chimica Acta|Hepatology","Second Military Medical University|Shanghai Jiao Tong University",NA,NA
"Nitai C. Hait","Virginia Commonwealth University","49",5885,2005,2020,"Biology|Sphingosine|Biochemistry|Cell biology|Sphingosine kinase|SPHK2|Sphingosine kinase 1|Immunology|Sphingosine-1-phosphate|Lipid signaling","Journal publications|Other","Sarah Spiegel|Sheldon Milstien|Jeremy C. Allegood|Michael Maceyka|Tomasz Kordula|Kuzhuvelil B. Harikumar|Kazuaki Takabe|Cheng Luo|Graham M. Strub|Masayuki Nagahashi","Journal of Biological Chemistry|Science|The FASEB Journal|Nature|Cancer Research|Cancer Cell|Biochimica et Biophysica Acta|Nature Neuroscience|Advances in Experimental Medicine and Biology|Mediators of Inflammation","Virginia Commonwealth University|Chinese Academy of Sciences|National Institutes of Health|National Scientific and Technical Research Council|Centre national de la recherche scientifique|Georgia Institute of Technology|French Institute of Health and Medical Research|VCU Medical Center|Washington University in St. Louis|University of São Paulo",NA,NA
"Hulya Karatas",NA,"1",0,2013,2013,"Cortical spreading depression|Neuroscience|Medicine|Telecommunications","Other",NA,NA,NA,NA,NA
"Hideki Sakahira","Osaka University","21",7659,1998,2015,"Molecular biology|Biology|ICAD|Caspase-activated DNase|Fragmentation (cell biology)|Caspase|Apoptotic DNA fragmentation|Caspase 3|Programmed cell death|DNA fragmentation","Journal publications","Shigekazu Nagata|Masato Enari|Akihiro Iwamatsu|Hideki Yokoyama|Katsuya Okawa|Masato Enari|Yoshiyuki Ohsawa|Yasuo Uchiyama|Naomi Mukae|Dorian McIlroy","Nature|Journal of Biological Chemistry|Genes & Development|Journal of Cell Biology|Proceedings of the National Academy of Sciences of the United States of America|Current Biology|Oncogene|Nature Structural & Molecular Biology|Cell Death & Differentiation|Journal of Molecular Biology","Osaka University|Kumamoto University|Mayo Clinic|University of Edinburgh|University of Tokyo|University of Zurich|Imperial College London|National Institute of Advanced Industrial Science and Technology",NA,NA
"Timothy A. Chan","Johns Hopkins University","13",3905,1995,2001,"Biology|Gene expression|Molecular biology|Cancer research|Breast cancer|DNA methylation|Transcriptome|SAGE Library|Genome human|Genetics","Journal publications","Saraswati Sukumar|Heiko Hermeking|Gregory M. Landes|Stephen L. Madden|Brian P. Cook|Wen Zhang|Joseph M. Petroziello|Kornelia Polyak|Kenneth W. Kinzler|Michael R. Dufault","Nature Genetics|Cancer Research|Oncogene|Proceedings of the National Academy of Sciences of the United States of America|Clinical Cancer Research|Journal of Biological Chemistry|Critical Reviews in Oncogenesis|Cancer treatment and research","Johns Hopkins University|Johns Hopkins University School of Medicine|Howard Hughes Medical Institute|Durham University|Duke University|Lawrence Berkeley National Laboratory|Columbia University|Novartis|Genzyme|University of Milan",NA,NA
"Morgan E. Carlson","University of California, Berkeley","12",1530,2005,2016,"Cell biology|Biology|Stem cell|Skeletal muscle|Stem cell theory of aging|Physics|Biophysics|Unitarity|Pairing|Neutron","Journal publications|Patents","Irina M. Conboy|Michael Hsu|Michael J. Conboy|Charlotte Suetta|Michael Kjaer|Abigail L. Mackey|Per Aagaard|Laurel A Barchas|Amanda Mikels|Jae Min Jeong","Nature|Aging Cell|Embo Molecular Medicine|Cryobiology|Experimental Cell Research|Biotechnology Progress|Current Opinion in Pharmacology|Frontiers in Bioscience","University of California, Berkeley|University of Copenhagen|University of Southern Denmark|University of California, Irvine|Helen Wills Neuroscience Institute|Stanford University",NA,NA
"Shidong Jia","Harvard University","9",1239,2006,2016,"Biology|Carcinogenesis|P110a|Cell biology|Signal transduction|Cell growth|Growth factor|Cancer research|Biochemistry|Epidermal growth factor","Journal publications","Thomas M. Roberts|Sabina Signoretti|Massimo Loda|Sang Hyun Lee|Pixu Liu|Zhenning Liu|Sen Zhang|Jing Zhang|Lei Zhang|Jean J. Zhao","Nature|Proceedings of the National Academy of Sciences of the United States of America|Current Opinion in Cell Biology|Cancer Discovery|Journal of Virology","Harvard University|Brigham and Women's Hospital|Tufts University",NA,NA
"Michael J. Wheeler","University of Worcester","15",496,1999,2019,"Biology|Pollen|Papaver|Genetics|Pollen-pistil interaction|Gene|Gynoecium|Pollination|Botany|Locus (genetics)","Journal publications|Other","Vernonica E. Franklin-Tong|Barend H. J. de Graaf|Kim Osman|Ruth M. Perry|Sabina Vatovec|Natalie S. Poulter|Andrea L. Harper|Natalie Hadjiosif|F. Christopher H. Franklin|H. Franklin","Nature|Journal of Experimental Botany|Biochemical Journal|New Phytologist|Biochemical Society Transactions|Philosophical Transactions of the Royal Society B|Protoplasma|Aerobiologia","University of Birmingham|Cardiff University|Rothamsted Research|University of Worcester|Montana State University|University of Oxford|HortResearch",NA,NA
"Corine Bertolotto","French Institute of Health and Medical Research","104",7285,1996,2020,"Biology|Melanoma|Cancer research|Microphthalmia-associated transcription factor|Transcription factor|Molecular biology|Cancer|Cell biology|Immunology|Genetics","Journal publications|Other|Patents","Robert Ballotti|Karine Bille|Philippe Bahadoran|Sandy Giuliano|Stéphane Rocchi|Yann Cheli|Jean-Paul Ortonne|Irwin Davidson|Mickaël Ohanna|Thomas Strub","Oncogene|Journal of Biological Chemistry|Nature|Cancer Research|Pigment Cell & Melanoma Research|Journal of Investigative Dermatology|Journal of Cell Biology|Genes & Development|Cell Death and Disease|Molecular Cancer Therapeutics","French Institute of Health and Medical Research|University of Nice Sophia Antipolis|University of Strasbourg|Curie Institute|Centre national de la recherche scientifique|Claude Bernard University Lyon 1|International Agency for Research on Cancer|University of Paris-Sud|University of Bordeaux|University of Burgundy",NA,NA
"Feng Zhou","Nanjing Agricultural University","9",870,2013,2017,"Biology|Biochemistry|Strigolactone|Cell biology|Gene expression|Repressor|Ubiquitin|Karrikin|SKP Cullin F-Box Protein Ligases|Plasma protein binding","Journal publications","Kunneng Zhou|Ling Jiang|Yulong Ren|Xin Zhang|Xiuping Guo|Jianmin Wan|Fuqing Wu|Chuanyin Wu|Haiyang Wang|Zhijun Cheng","Nature|Nature Biotechnology|The Plant Cell|PLOS Genetics|Planta|Plant Molecular Biology Reporter|Breeding Science","Nanjing Agricultural University|Chinese Academy of Sciences|University of Washington|University of Tokyo|The Chinese University of Hong Kong|Rice University",NA,NA
"S Kale","National Center for Charitable Statistics","7",618,2008,2014,"Angiogenesis|Biology|Osteopontin|Cancer|Immunology|Cancer research|Metastasis|Targeted therapy|Cancer biology|Vascular endothelial growth factor","Journal publications","Gopal C. Kundu|Remya Raja|Dhanashri Thorat|Gowrishankar Soundararajan|Goutam Chakraborty|Shalini Jain|Santosh Kumar|Rosalin Mishra|Anuradha Bulbule|Pompom Ghosh","Expert Opinion on Therapeutic Targets|Oncogene|Cancer Research|Molecular Medicine Reports|Cellular Signalling","National Center for Charitable Statistics|Memorial Sloan Kettering Cancer Center|University of California, Riverside|University of Texas MD Anderson Cancer Center|Yale University|Ruby Hall Clinic|Jawaharlal Nehru University",NA,NA
"CM Das",NA,"1",9,1978,1978,"Ecology|Theology|Biology","Journal publications",NA,"Biologie in Unserer Zeit",NA,NA,NA
"CC Jiang","Huazhong University of Science and Technology","1",8,2017,2017,"microRNA|Cell|Molecular biology|Reporter gene|MTT assay|Cell cycle|Cancer research|Cell growth|Epithelial–mesenchymal transition|A549 cell","Journal publications","Qi Mei|Fen Hu|Simin Jiang|Yongjian Xu|Tao Wang","Oncology Reports","Huazhong University of Science and Technology",NA,NA
"Z Zhang","Duke University","33",2679,1995,2019,"Internal medicine|Biology|Endocrinology|Medicine|Cardiology|Cell biology|Calcium signaling|Basic fibroblast growth factor|Skeletal muscle|Muscle contraction","Journal publications|Other","Paul B. Rosenberg|Ellis F. Unger|Victoria Graham|Malini Seth|Jarrett Burch|Matie Shou|Daisy F. Lazarous|R. Sanders Williams|Everett Hodge|Stephen E. Epstein","Proceedings of the National Academy of Sciences of the United States of America|Circulation|Nature Cell Biology|Cardiovascular Research|Circulation Research|Cancer|Journal of the American College of Cardiology|Journal of Biological Chemistry|American Journal of Cardiology|Journal of Thoracic Oncology","Duke University|National Institutes of Health|University of North Carolina at Chapel Hill|University of California, Irvine|University of Maryland, Baltimore|Center for Biologics Evaluation and Research|Yonsei University|University of Texas Southwestern Medical Center|Johns Hopkins University|Campbell University",NA,NA
